#XSOCIAL
Name        x_earlobe~
CharNoArg   On whom do you wish to do this?~
CharFound   You gently tug on $S earlobe with your teeth.~
OthersFound $n gently tugs on $N's earlobe with $s teeth.~
VictFound   $n gently tugs on your earlobe with $s teeth.~
CharAuto    Not on yourself!~
GenderTo     0
Gender       0
Stage        0
Position     0
Self         1
Other        1
Chance       0
End

#XSOCIAL
Name        x_french~
CharNoArg   On whom do you wish to do this?~
CharFound   You give $M a deep throbbing kiss, rolling your tongue around with $S.~
OthersFound $n gives $N a deep throbbing kiss.~
VictFound   $n gives you a deep throbbing kiss, rolling $s tongue around yours.~
CharAuto    Not on yourself!~
GenderTo     0
Gender       0
Stage        0
Position     0
Self         1
Other        1
Chance       0
End

#XSOCIAL
Name        x_kissneck~
CharNoArg   On whom do you wish to do this?~
CharFound   You slowly and softly kiss and nuzzle $M neck.~
OthersFound $n slowly and softly kisses and nuzzles $N's neck.~
VictFound   $n slowly and softly kisses and nuzzles your neck.~
CharAuto    Not on yourself!~
GenderTo     0
Gender       0
Stage        0
Position     0
Self         1
Other        1
Chance       0
End

#XSOCIAL
Name        x_moan~
CharNoArg   On whom do you wish to do this?~
CharFound   You start moaning 'Oh $N...oh yes...don't stop...mmMMmm...'~
OthersFound $n starts moaning 'Oh $N...oh yes...don't stop...mmMMmm...'~
VictFound   $n starts moaning 'Oh $N...oh yes...don't stop...mmMMmm...'~
CharAuto    Not on yourself!~
GenderTo     0
Gender       0
Stage        2
Position     0
Self         1
Other        1
Chance       0
End

#XSOCIAL
Name        x_nuttella~
CharNoArg   On whom do you wish to do this?~
CharFound   You cover $N's naked flesh with a popular chocolate spread, before licking it off.~
OthersFound $n smears a chocolate spread over $N's body, licking $M clean with relish.~
VictFound   $n smears a popular chocolate spread on your naked flesh, licking it off you.~
CharAuto    Not on yourself!~
GenderTo     0
Gender       0
Stage        0
Position     0
Self         5
Other        20
Chance       0
End

#XSOCIAL
Name        x_stroke~
CharNoArg   On whom do you wish to do this?~
CharFound   You lightly run your fingers along the insides of $S thighs.~
OthersFound $n lightly runs $s fingers along the insides of $N's thighs.~
VictFound   $n lightly runs $s fingers along the insides of your thighs.~
CharAuto    Not on yourself!~
GenderTo     0
Gender       0
Stage        0
Position     0
Self         5
Other        10
Chance       0
End

#XSOCIAL
Name        x_tender~
CharNoArg   On whom do you wish to do this?~
